t,x,y,z,qw,qx,qy,qz,x_v,y_v,z_v,wx,wy,wz,left_shoulder_pitch,left_shoulder_abad,left_shoulder_yaw,left_elbow,left_hip_yaw,left_hip_abad,left_hip_pitch,left_knee,left_ankle,right_shoulder_pitch,right_shoulder_abad,right_shoulder_yaw,right_elbow,right_hip_yaw,right_hip_abad,right_hip_pitch,right_knee,right_ankle,left_shoulder_pitch_v,left_shoulder_abad_v,left_shoulder_yaw_v,left_elbow_v,left_hip_yaw_v,left_hip_abad_v,left_hip_pitch_v,left_knee_v,left_ankle_v,right_shoulder_pitch_v,right_shoulder_abad_v,right_shoulder_yaw_v,right_elbow_v,right_hip_yaw_v,right_hip_abad_v,right_hip_pitch_v,right_knee_v,right_ankle_v
0,0,0,0.6207131,0.999411596755991,0.0292149882122951,0.0179629927522662,-0.000524999788172338,0,0,0,0,0,0,-0.212094053244907,0.107985823236983,0.049326858964665,-0.148934,0.0392955570943218,-0.0505485469010081,0.0117036584530984,0.027859,0.0165490764931781,-0.155852221698972,0.0231276464467471,-0.247033619178697,-0.240463,-0.0137461562934451,0.0531320768496926,0.0774490393552888,0.014186,-0.0743310983528892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0625,-0.0141876,-0.0005145,0.6365653,0.999197312811258,0.0303950095155392,0.0246960077313951,0.0084250026375528,-0.2270016,-0.008232,0.253635200000002,0,0,0,-0.257400530344702,0.364849521535733,-0.0898909057929236,-0.171986,0.0365366791446384,-0.0366990699727235,-0.0586970614748945,0.064696,0.206210646291984,-0.184478726739969,0.253016865344963,-0.403673512964915,-0.233349,-0.0239374926035571,0.0726880134798852,0.0139915309631983,0.014254,0.206210646291984,-0.724903633596724,4.10981917277999,-2.22748423612142,-0.368832,-0.0441420471949336,0.221591630852553,-1.12641151884789,0.589392,3.03458511678089,-0.458024080655957,3.67822750237146,-2.5062383005795,0.113824,-0.163061380961792,0.312894986083082,-1.01532013427345,0.00108799999999998,4.48866791431797
0.125,-0.036729,-0.001113,0.6484555,0.998751949040681,0.0275339985951328,0.0392549979970923,0.0139809992866475,-0.3606624,-0.009576,0.190243199999999,0,0,0,-0.113390082883825,0.752490829555442,0.134779162495234,-0.279569,0.0277165157803537,-0.00646230947721456,-0.197668656972495,0.161707,0.357690352977789,-0.0685325628541689,0.603610027977911,-0.461925502570409,-0.237612,-0.0486444608179706,0.0943551930070115,-0.113156373552252,0.014309,0.357690352977789,2.30416715937404,6.20226092831535,3.59472109261052,-1.721328,-0.141122613828556,0.483788167928143,-2.2235455279616,1.552176,2.42367530697288,1.85513862217281,5.60949060212717,-0.932031833687894,-0.0682079999999998,-0.395311491430616,0.346674872434021,-2.03436647224721,0.00088000000000002,2.42367530697288
0.1875,-0.0664244,-0.0019656,0.6416263,0.997134381221472,0.0222239862087541,0.0712429557896988,0.0123919923100648,-0.4751264,-0.0136416,-0.1092672,0,0,0,0.738401042545487,1.09612562739059,-0.0966226993954162,-0.441097,-0.0847644535088879,0.0202703723256554,-0.433261039252895,0.349788,0.386700842091622,0.472285871309237,0.880126820193087,-0.627357368603208,-0.306927,-0.0619116543289921,0.0951302543301988,-0.347449663701985,0.187959,0.386700842091622,13.628658006869,5.49815676536242,-3.70242979025041,-2.584448,-1.79969550862787,0.427722908845919,-3.76947811648641,3.009296,0.46416782582133,8.65309494661449,4.42426867544282,-2.64690985652479,-1.10904,-0.212275096176344,0.0124009811709975,-3.74869264239573,2.7784,0.46416782582133
0.25,-0.1013775,-0.0001127,0.6265371,0.992211124947667,0.0320820040400389,0.120003015111801,0.00933300117529091,-0.5592496,0.0296464,-0.2414272,0,0,0,1.39717563067951,0.839456552468811,-0.74062709632048,-0.366419,-0.0807510277599188,-0.0306260903376701,-0.766581871899642,0.625573,0.381313599445203,1.21776724300331,0.674744549110669,-1.08616702017179,-0.343986,-0.107994288857367,0.117810523538978,-0.71309718047586,0.525709,0.381313599445203,10.5403934101444,-4.10670519874851,-10.304070350801,1.194848,0.0642148119835064,-0.814343402613208,-5.33313332234794,4.41256,-0.0861958823427118,11.9277019471052,-3.28611633731869,-7.34095442509739,-0.592944,-0.737322152454006,0.362884307340464,-5.850360268382,5.404,-0.0861958823427118
0.3125,-0.1318464,0.002275,0.5863543,0.983273861499495,0.0262159963073068,0.179929974655695,0.0105089985197393,-0.4875024,0.0382032,-0.642924799999999,0,0,0,1.40502421788134,0.403156580177082,-1.10566564691218,-0.229294,-0.0529563360730839,-0.0194707025165274,-1.12799139360966,0.873965,0.339773149086052,1.39381188142384,0.245102785210797,-1.38527882797614,-0.290605,-0.139505258609097,0.0802253732448172,-1.07966879043448,0.8197,0.339773149086052,0.125577395229342,-6.98079955666766,-5.84061680946722,2.194,0.444715066989358,0.178486205138284,-5.78255234736029,3.974272,-0.664647205746415,2.8167142147285,-6.87426822239795,-4.78578892486952,0.854096,-0.504175516027677,-0.601362404706571,-5.86514575933796,4.703856,-0.664647205746415
0.375,-0.1495053,0.0042994,0.534471,0.973571635318495,0.0244430159506497,0.226850148034402,0.00999100651977829,-0.2825424,0.0323904,-0.830132799999999,0,0,0,1.09342762536394,0.139252135848894,-2.12787978071928,-0.178244,-0.0365133672711955,-0.0192408288300833,-1.42750930305642,1.120234,0.204171762368946,1.20116026869799,-0.0182786915653631,-1.6701598147014,-0.234265,-0.13545392343167,0.0329951956661936,-1.36696799326398,1.072856,0.204171762368946,-4.98554548027841,-4.22247110925101,-16.3554261409136,0.8168,0.263087500830215,0.00367797898310479,-4.79228655114817,3.940304,-2.16962218747369,-3.08242580361373,-4.21410362841856,-4.55809578760418,0.90144,0.0648213628388303,-0.755682841257978,-4.59678724527191,4.050496,-2.16962218747369
0.4375,-0.1542296,0.0026376,0.4632194,0.976254875705678,0.0196629974965565,0.214754972657936,0.020495997390501,-0.0755888000000002,-0.0265888,-1.1400256,0,0,0,0.43959566405047,0.161157036073916,-1.6551326955797,-0.244704,-0.0246620800325918,-0.0335183401532123,-1.53607382404867,1.35178,-0.0824469290044365,0.648256139181634,-0.0603979250919259,-1.04990190407466,-0.179283,-0.0895050846098373,-0.00479144727128701,-1.53332432782635,1.374817,-0.0824469290044365,-10.4613113810156,0.350478403600346,7.56395336223328,-1.06336,0.189620595817659,-0.228440181170064,-1.73703233587602,3.704736,-4.58589906197413,-8.84646607226165,-0.673907736425005,9.92412657002785,0.879712,0.735181421149329,-0.604586286999689,-2.66170135299796,4.831376,-4.58589906197413
0.5,-0.1661338,0.0015239,0.4388636,0.997942558972357,0.00454299799228154,0.0481239787322379,0.0421199813856259,-0.1904672,-0.0178192,-0.389692800000002,0,0,0,-0.339353091383456,0.215628237763821,0.284199875828638,-0.147036,0.00295663945081738,-0.0124812499575088,-1.27939639882726,1.513209,-0.145759828498959,-0.334594138995336,0.170108632094064,0.259379287193675,-0.413324,-0.0429802144824564,-0.0284268789121715,-1.25080445007207,1.529467,-0.145759828498959,-12.4631800869428,0.871539227038491,31.0293211425334,1.562688,0.441899511734547,0.336593443131257,4.10683880354255,2.582864,-1.01300639191236,-15.7256044508315,3.68810491497584,20.9484990602934,-3.744656,0.744397922038094,-0.378166906254151,4.52031804406839,2.4744,-1.01300639191236
0.5625,-0.1942633,0.0036225,0.4370198,0.996668404768876,-0.0102409938838652,-0.0655199608701151,0.0474799716439723,-0.450072,0.0335776,-0.0295007999999983,0,0,0,-1.36187897606048,-0.138349127210509,0.85181830181229,-0.792293,-0.028016346021582,0.00765267989258899,-1.11688511443491,1.572356,-0.144547339133131,-1.36644171318113,-0.107125115060744,0.605553190227929,-0.709389,-0.0839381296241714,-0.0550133198075184,-1.06455781490763,1.559657,-0.144547339133131,-16.3604141548323,-5.66363783958929,9.08189481573842,-10.324112,-0.495567767558391,0.322142877601564,2.60018055027758,0.946352000000001,0.0193998298532554,-16.5095611869728,-4.43573995447693,5.53878244854806,-4.73704,-0.655326642267439,-0.425383054325552,2.97994616263109,0.483040000000003,0.0193998298532554
