t,x,y,z,qw,qx,qy,qz,x_v,y_v,z_v,wx,wy,wz,left_shoulder_pitch,left_shoulder_abad,left_shoulder_yaw,left_elbow,left_hip_yaw,left_hip_abad,left_hip_pitch,left_knee,left_ankle,right_shoulder_pitch,right_shoulder_abad,right_shoulder_yaw,right_elbow,right_hip_yaw,right_hip_abad,right_hip_pitch,right_knee,right_ankle,left_shoulder_pitch_v,left_shoulder_abad_v,left_shoulder_yaw_v,left_elbow_v,left_hip_yaw_v,left_hip_abad_v,left_hip_pitch_v,left_knee_v,left_ankle_v,right_shoulder_pitch_v,right_shoulder_abad_v,right_shoulder_yaw_v,right_elbow_v,right_hip_yaw_v,right_hip_abad_v,right_hip_pitch_v,right_knee_v,right_ankle_v
0,0,0,0.588868308,0.964699233045321,0.139503987192093,0.22107019248747,-0.031968692698188,0,0,0,0,0,0,-2.63520789589642,0.954716745041876,2.35430191573988,-0.1767704373,-0.236496574456537,-0.260253051668874,-0.769454479514942,0.5172894105,0.068369732958539,-2.07281101358096,-0.184138207640047,1.26414656109565,-0.8081328224,-0.751097772946813,-0.037514158665604,-0.30519597086529,0.8870112327,0.168000811896576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0166660007,-0.00293876919,0.0146449408,0.576744126,0.959128921359155,0.153234792593474,0.234644775790007,-0.039148943098333,-0.176333197321899,0.878731560355689,-0.727479988645385,0,0,0,-2.61373768686661,1.02906760379535,2.34272157328281,-0.1612247898,-0.205655105418315,-0.331360910230381,-0.838148562160526,0.6142738664,-0.067869157355532,-1.93965480361993,-0.282021326968442,1.28393807861916,-0.7814153222,-0.727513394985098,-0.108672278661542,-0.351334937289793,0.9249389826,0.203217585571465,1.28826401824236,4.46122978702842,-0.694848312173015,0.932776121868278,1.85056208705315,-4.26664200017149,-4.12180965800537,5.81929988158467,-8.17466006191104,7.98969184976884,-5.87322184190209,1.18753850307428,1.60311406923198,1.41511922303681,-4.26965780674292,-2.76844860713963,2.27575592865539,2.11309085537773
0.0333320014,-0.00541404507,0.02838789457,0.565082224,0.955046962857237,0.164455972492636,0.24365501008909,-0.038363627398282,-0.148522487461554,0.824610175973411,-0.699742080294041,0,0,0,-2.54345360012913,1.1000844854505,2.28187286242873,-0.1545157441,-0.174566112252745,-0.402667713676685,-0.897640480495449,0.7008928118,-0.171010942063826,-1.77300391335014,-0.344188379883788,1.30678446113362,-0.7571988789,-0.716473623633629,-0.180565486727391,-0.384123974276041,0.943207344,0.230428186714849,4.21721371567444,4.26118316766616,-3.65106854064176,0.402558827445627,1.86541412815195,-4.27857917024472,-3.5696577364792,5.19734439948751,-6.18875437274488,9.99945297432925,-3.73017222514254,1.37083772680149,1.45304465875847,0.662412749776845,-4.31376485336697,-1.96742083337654,1.09614548378124,1.63270130808196
0.0499980021,-0.00824087901,0.04069572451,0.55396439,0.952268722172409,0.16944781299509,0.251913302792701,-0.031802630699079,-0.169616813948652,0.738499305355243,-0.667096695849772,0,0,0,-2.42638383517564,1.14830708626611,2.16707945317298,-0.1414886064,-0.135811412814344,-0.453591210060808,-0.963225140932941,0.7864034732,-0.248589362287712,-1.59725413945002,-0.380029027283224,1.30545303345043,-0.7117173438,-0.70208340654595,-0.265567265387671,-0.404420120115147,0.943753632,0.232070132444769,7.02446658084484,2.89347166627726,-6.88787978124556,0.781659495550123,2.32537488363364,-3.05553187599006,-3.93523687044441,5.13084470229262,-4.65489121357627,10.5454078074123,-2.15052477463509,-0.079888853190233,2.72900115142801,0.863447526896984,-5.10031051782442,-1.2178174118945,0.03277858976689,0.098520680484525
0.0666640028,-0.01133982654,0.0526523452,0.544476982,0.949910467017451,0.171927231103158,0.25964687990477,-0.026355826900484,-0.185944281761611,0.717425908304444,-0.56926722677985,0,0,0,-2.26449544297086,1.19243210688286,1.99336828288431,-0.131297629,-0.097221085314001,-0.491980807216582,-1.03424998417221,0.872425516,-0.286718800677171,-1.41426125091131,-0.390069840535513,1.28668075564644,-0.6651676674,-0.684248099526016,-0.351185280786766,-0.42227639536247,0.9324857863,0.208227518906961,9.71369167197876,2.64760703008654,-10.4230867030182,0.611483077640816,2.31551217325605,-2.30346787131565,-4.26166088180138,5.16152881236828,-2.28785772158636,10.9800120516444,-0.60247286874822,-1.12638167619821,2.79309219037774,1.07016118269658,-5.13728619962768,-1.0714193266128,-0.676097757514192,-1.43061397674176
0.0833300035,-0.01377344255,0.06528262321,0.537380984,0.947917461176308,0.174277573695644,0.265486218893364,-0.024431162099389,-0.146022795378858,0.757846962648933,-0.425776893193101,0,0,0,-2.01878964525581,1.22144818229264,1.74219106682516,-0.116868992,-0.065259491530183,-0.53086192313382,-1.09060465741774,0.9394863019,-0.308539029498169,-1.20518832413141,-0.359389953685935,1.25068410745566,-0.6293308218,-0.670188294089557,-0.422567432776514,-0.436657144484316,0.9097965061,0.167900090782487,14.7429369611779,1.7410340928269,-15.0712351799643,0.865752813750932,1.91777225737294,-2.33296017545697,-3.38141550933316,4.02380793731756,-1.30926604491251,12.5448768749844,1.84086676832903,-2.15988519613977,2.15029665755384,0.843622035636854,-4.28310026350524,-0.862879426246904,-1.36141121126918,-2.41974237553426
0.0999960042,-0.01552966226,0.07771242598,0.53202387,0.946386858126951,0.175397213204995,0.269759770007682,-0.028590188000814,-0.10537739326988,0.74581796759435,-0.321439684086893,0,0,0,-1.75199541084729,1.23720989529596,1.46727203666908,-0.1101494745,-0.055137505374182,-0.569741612459561,-1.12235739629391,0.9822590859,-0.33709149140532,-1.00715857517264,-0.315307775908742,1.20065568409992,-0.5650171843,-0.662345058603715,-0.477485879079416,-0.440809761419811,0.8766753927,0.128361936247516,16.0082937239119,0.945740570100998,-16.4958009485792,0.403187160552562,0.607343437589086,-2.33287457654681,-1.90524046216814,2.56646959099191,-1.71321617112081,11.8822597288603,2.64503635699432,-3.00182534828176,3.85897244682103,0.470612933902132,-3.29523844931204,-0.249166972343585,-1.98734621438004,-2.37238406782088
0.1166620049,-0.01700818028,0.09013809084,0.5279967,0.945571738630888,0.17479582340571,0.271704555708876,-0.038950502301272,-0.088714626059028,0.745569683073396,-0.241639855445342,0,0,0,-1.48273514859015,1.24497568471982,1.18005476828786,-0.1115143218,-0.058022590150674,-0.600913220584674,-1.13606146072707,1.0062608538,-0.37161033920133,-0.836488242912578,-0.252770338981807,1.15244134362377,-0.49412191,-0.652065876651908,-0.514260244576252,-0.435755980996495,0.8339427513,0.083905188509911,16.1562613073178,0.465965984500467,-17.2337247280463,-0.08189411032486,-0.17311200379895,-1.87037122380013,-0.822276722523296,1.44016362005793,-2.0712136293148,10.2406291306624,3.75239615386161,-2.89297602610477,4.25388643479416,0.616775562226362,-2.20655009913901,0.30323894222063,-2.56406093874699,-2.6675114526789
0.1333280056,-0.01835548505,0.10330816426,0.525349258,0.944782297743441,0.173701434789601,0.271959854583719,-0.057026826296586,-0.080841516465315,0.790235981449347,-0.158852867442884,0,0,0,-1.22884301274274,1.24658600420579,0.933149311897891,-0.1162860522,-0.062110988522628,-0.622666479314009,-1.14575403754582,1.022127642,-0.403497744068169,-0.700230958587036,-0.180892897922909,1.12188906428366,-0.3977256301,-0.631392030537938,-0.528900768678843,-0.430537827780092,0.7890127405,0.00814021882562,15.234136876486,0.096623030021301,-14.8149193579456,-0.286315264585343,-0.245313704562251,-1.30524767884688,-0.581577847812744,0.952045333827455,-1.91332074448066,8.17576374670033,4.31281879514728,-1.83321001181207,5.78400791138812,1.24048033395137,-0.878466547921781,0.313101703902068,-2.69590837110669,-4.54607983331544
0.1499940063,-0.01968810711,0.1177050497,0.524019314,0.943519304990917,0.171947237098345,0.270784985097393,-0.082951555799201,-0.079960518662405,0.86384764402416,-0.079799828641545,0,0,0,-0.941808028229864,1.24304026470505,0.662336180043324,-0.1309974325,-0.068243600202817,-0.63667591658494,-1.15466461136181,1.032273241,-0.42946560212676,-0.586865297120223,-0.084179175753893,1.11919002302177,-0.2977584064,-0.594732111904794,-0.523966027684782,-0.432247549516186,0.7620491488,0.023395173305261,17.2227872589056,-0.212752871223622,-16.2494372062859,-0.882718089649427,-0.3679714042127,-0.840599824943656,-0.534655792735541,0.608760264842656,-1.55813374342355,6.80221149077552,5.80305520862102,-0.16194894686948,5.99827310099657,2.19968301292246,0.296096291059211,-0.102587403353114,-1.61788014925501,0.915333843688156
